Time,UE,Dir,Delay,Jitter,Throughput,PDR
4,0,DL,0.512385,0.0244716,0.717279,30
4,0,UL,0.00620556,0.000184732,0.060791,99.6
4,1,DL,0.0779965,0.0207971,1.17604,48.3607
4,1,UL,0.00620569,0.000184732,0.060791,99.6
4,2,DL,0,0,0,0
4,2,UL,0,0,0,0
4,3,DL,0.316905,0.00212153,1.03614,43.3333
4,3,UL,0,0,0,0
4,4,DL,0,0,0,0
4,4,UL,0,0,0,0
4,5,DL,0,0,0,0
4,5,UL,0,0,0,0
4,6,DL,0,0,0,0
4,6,UL,0,0,0,0
4,7,DL,0.253883,0.000448186,0.0596943,2.5
4,7,UL,0,0,0,0
4,8,DL,0.257712,0.0112746,0.876486,36.6667
4,8,UL,0.00620583,0.000184735,0.060791,99.6
4,9,DL,0,0,0,0
4,9,UL,0,0,0,0
4,10,DL,0.0240994,0.00577462,0.119539,5
4,10,UL,0,0,0,0
4,11,DL,0,0,0,0
4,11,UL,0,0,0,0
4,12,DL,0,0,0,0
4,12,UL,0,0,0,0
4,13,DL,0,0,0,0
4,13,UL,0.247264,0.000243343,0.0461426,75.6
4,14,DL,0,0,0,0
4,14,UL,0,0,0,0
6,0,DL,1.06715,0.0120984,1.5142,31.9328
6,0,UL,0.00602885,0,0.0302734,12.4
6,1,DL,0.0292828,0.00602652,2.39172,49.5868
6,1,UL,0.109665,0.0198181,0.00537109,2.2
6,2,DL,0,0,0,0
6,2,UL,0,0,0,0
6,3,DL,0.733155,0.03618,0.597729,12.5
6,3,UL,0,0,0,0
6,4,DL,0.253909,0.000454618,1.83344,38.3333
6,4,UL,0.247137,0.000110293,0.203613,83.4
6,5,DL,0,0,0,0
6,5,UL,0,0,0,0
6,6,DL,0,0,0,0
6,6,UL,0,0,0,0
6,7,DL,0.253915,0.00048987,0.597702,12.5
6,7,UL,0,0,0,0
6,8,DL,0,0,0,0
6,8,UL,0.00602899,2.19355e-09,0.0302734,12.4
6,9,DL,0,0,0,0
6,9,UL,0,0,0,0
6,10,DL,0,0,0,0
6,10,UL,0,0,0,0
6,11,DL,0,0,0,0
6,11,UL,0,0,0,0
6,12,DL,0,0,0,0
6,12,UL,0,0,0,0
6,13,DL,0.626151,0.00225568,3.54567,74.7899
6,13,UL,0.247032,8.91803e-09,0.0595703,24.4
6,14,DL,0,0,0,0
6,14,UL,0,0,0,0
8,0,DL,2.49242,0.603625,0.0794373,1.66667
8,0,UL,0,0,0,0
8,1,DL,0.0151608,0.00196721,4.70052,99.1597
8,1,UL,0,0,0,0
8,2,DL,0,0,0,0
8,2,UL,0,0,0,0
8,3,DL,0.849227,0.00244897,4.18398,86.7769
8,3,UL,0,0,0,0
8,4,DL,0.256788,0.00212344,4.54076,95
8,4,UL,0.247032,0,0.244141,100
8,5,DL,0,0,0,0
8,5,UL,0,0,0,0
8,6,DL,0,0,0,0
8,6,UL,0,0,0,0
8,7,DL,0,0,0,0
8,7,UL,0,0,0,0
8,8,DL,1.93016,0.0586546,1.15556,23.9669
8,8,UL,0,0,0,0
8,9,DL,0,0,0,0
8,9,UL,0,0,0,0
8,10,DL,2.3915,0.493556,0.199421,4.20168
8,10,UL,0,0,0,0
8,11,DL,0,0,0,0
8,11,UL,0,0,0,0
8,12,DL,0,0,0,0
8,12,UL,0,0,0,0
8,13,DL,0.910874,0.00775809,2.07087,43.3333
8,13,UL,0,0,0,0
8,14,DL,0,0,0,0
8,14,UL,0,0,0,0
10,0,DL,3.11763,0.0274017,1.23479,26.0504
10,0,UL,0,0,0,0
10,1,DL,0.0126725,0.000222332,0.27895,5.83333
10,1,UL,0,0,0,0
10,2,DL,0,0,0,0
10,2,UL,0,0,0,0
10,3,DL,1.16887,0.00904815,2.15125,45
10,3,UL,0,0,0,0
10,4,DL,0.253834,0.000504192,2.62984,55
10,4,UL,0.247032,0,0.244141,100
10,5,DL,0,0,0,0
10,5,UL,0,0,0,0
10,6,DL,0,0,0,0
10,6,UL,0,0,0,0
10,7,DL,0,0,0,0
10,7,UL,0,0,0,0
10,8,DL,0,0,0,0
10,8,UL,0,0,0,0
10,9,DL,0,0,0,0
10,9,UL,0,0,0,0
10,10,DL,2.68989,0.0168817,1.43435,30.2521
10,10,UL,0,0,0,0
10,11,DL,0,0,0,0
10,11,UL,0,0,0,0
10,12,DL,0,0,0,0
10,12,UL,0,0,0,0
10,13,DL,1.03888,0.00220992,2.11069,44.1667
10,13,UL,0,0,0,0
10,14,DL,0.0615854,0.01358,0.199303,4.20168
10,14,UL,0,0,0,0
12,0,DL,3.35747,0.0100289,0.0397072,0.833333
12,0,UL,0,0,0,0
12,1,DL,0.0191021,0.00411655,2.15086,45
12,1,UL,0,0,0,0
12,2,DL,0,0,0,0
12,2,UL,0,0,0,0
12,3,DL,1.37333,0.00235534,4.18315,87.5
12,3,UL,0,0,0,0
12,4,DL,0.257702,0.00239495,4.58232,94.2623
12,4,UL,0.247032,0,0.244141,100
12,5,DL,0,0,0,0
12,5,UL,0,0,0,0
12,6,DL,0,0,0,0
12,6,UL,0,0,0,0
12,7,DL,0,0,0,0
12,7,UL,0,0,0,0
12,8,DL,3.71617,0.08603,0.876633,18.3333
12,8,UL,0,0,0,0
12,9,DL,0,0,0,0
12,9,UL,0,0,0,0
12,10,DL,0,0,0,0
12,10,UL,0,0,0,0
12,11,DL,0,0,0,0
12,11,UL,0,0,0,0
12,12,DL,0,0,0,0
12,12,UL,0,0,0,0
12,13,DL,1.44387,0.0209757,1.47362,30.8333
12,13,UL,0,0,0,0
12,14,DL,0,0,0,0
12,14,UL,0,0,0,0
14,0,DL,4.70315,0.0331664,2.19206,45.4545
14,0,UL,0,0,0,0
14,1,DL,0.0364673,0.00905005,2.90827,60.8333
14,1,UL,0,0,0,0
14,2,DL,0,0,0,0
14,2,UL,0,0,0,0
14,3,DL,1.6457,0.0056165,1.75245,36.3636
14,3,UL,0,0,0,0
14,4,DL,0.253862,0.000465453,4.77947,100
14,4,UL,0.247032,0,0.244141,100
14,5,DL,0,0,0,0
14,5,UL,0,0,0,0
14,6,DL,0,0,0,0
14,6,UL,0,0,0,0
14,7,DL,0,0,0,0
14,7,UL,0,0,0,0
14,8,DL,0,0,0,0
14,8,UL,0,0,0,0
14,9,DL,0,0,0,0
14,9,UL,0,0,0,0
14,10,DL,0,0,0,0
14,10,UL,0,0,0,0
14,11,DL,0,0,0,0
14,11,UL,0,0,0,0
14,12,DL,0,0,0,0
14,12,UL,0,0,0,0
14,13,DL,1.65162,0.0118161,1.79197,37.8151
14,13,UL,0,0,0,0
14,14,DL,0,0,0,0
14,14,UL,0,0,0,0
16,0,DL,5.02634,0.0115587,0.0397034,0.840336
16,0,UL,0,0,0,0
16,1,DL,0.012867,0.00129491,0.079216,1.68067
16,1,UL,0,0,0,0
16,2,DL,0,0,0,0
16,2,UL,0,0,0,0
16,3,DL,1.86908,0.00247264,4.18441,88.2353
16,3,UL,0,0,0,0
16,4,DL,0.253779,0.000463566,2.6295,55
16,4,UL,0.247032,0,0.244141,100
16,5,DL,0,0,0,0
16,5,UL,0,0,0,0
16,6,DL,0,0,0,0
16,6,UL,0,0,0,0
16,7,DL,0,0,0,0
16,7,UL,0,0,0,0
16,8,DL,5.73687,0.085729,0.956753,20
16,8,UL,0,0,0,0
16,9,DL,0,0,0,0
16,9,UL,0,0,0,0
16,10,DL,0,0,0,0
16,10,UL,0,0,0,0
16,11,DL,0,0,0,0
16,11,UL,0,0,0,0
16,12,DL,0,0,0,0
16,12,UL,0,0,0,0
16,13,DL,1.88116,0.00773352,2.35065,49.1667
16,13,UL,0,0,0,0
16,14,DL,0.0162922,0.00228597,4.22426,89.0756
16,14,UL,0,0,0,0
18,0,DL,6.60087,0.101261,0.717236,15.1261
18,0,UL,0,0,0,0
18,1,DL,0.0126391,0.000356755,0.239182,5.04202
18,1,UL,0,0,0,0
18,2,DL,0,0,0,0
18,2,UL,0,0,0,0
18,3,DL,2.12232,0.00340082,4.14314,86.6667
18,3,UL,0,0,0,0
18,4,DL,0.258696,0.00345612,2.3896,50
18,4,UL,0.247032,0,0.244141,100
18,5,DL,0,0,0,0
18,5,UL,0,0,0,0
18,6,DL,0,0,0,0
18,6,UL,0,0,0,0
18,7,DL,0,0,0,0
18,7,UL,0,0,0,0
18,8,DL,0,0,0,0
18,8,UL,0,0,0,0
18,9,DL,0,0,0,0
18,9,UL,0,0,0,0
18,10,DL,0,0,0,0
18,10,UL,0,0,0,0
18,11,DL,0,0,0,0
18,11,UL,0,0,0,0
18,12,DL,0,0,0,0
18,12,UL,0,0,0,0
18,13,DL,1.97988,0.00254129,0.518764,10.9244
18,13,UL,0,0,0,0
18,14,DL,0.012972,0.000441721,0.27924,5.83333
18,14,UL,0,0,0,0
20,0,DL,6.89654,0.0122651,1.39505,29.661
20,0,UL,0,0,0,0
20,1,DL,0.0275171,0.00630919,1.9915,41.6667
20,1,UL,0,0,0,0
20,2,DL,0,0,0,0
20,2,UL,0,0,0,0
20,3,DL,2.25788,0.00219042,0.518372,10.8333
20,3,UL,0,0,0,0
20,4,DL,0,0,0,0
20,4,UL,0.247032,0,0.244141,100
20,5,DL,0,0,0,0
20,5,UL,0,0,0,0
20,6,DL,0,0,0,0
20,6,UL,0,0,0,0
20,7,DL,0,0,0,0
20,7,UL,0,0,0,0
20,8,DL,0,0,0,0
20,8,UL,0,0,0,0
20,9,DL,0,0,0,0
20,9,UL,0,0,0,0
20,10,DL,0,0,0,0
20,10,UL,0,0,0,0
20,11,DL,0,0,0,0
20,11,UL,0,0,0,0
20,12,DL,0,0,0,0
20,12,UL,0,0,0,0
20,13,DL,0,0,0,0
20,13,UL,0,0,0,0
20,14,DL,0,0,0,0
20,14,UL,0,0,0,0
22,0,DL,8.17914,0.0407773,1.31599,27.5
22,0,UL,0,0,0,0
22,1,DL,0.018842,0.00461137,1.59317,33.6134
22,1,UL,0,0,0,0
22,2,DL,0,0,0,0
22,2,UL,0,0,0,0
22,3,DL,2.67325,0.0107949,2.31036,48.3333
22,3,UL,0,0,0,0
22,4,DL,0.253752,0.000470705,0.99625,20.4918
22,4,UL,0.247032,0,0.244141,100
22,5,DL,0,0,0,0
22,5,UL,0,0,0,0
22,6,DL,0,0,0,0
22,6,UL,0,0,0,0
22,7,DL,0,0,0,0
22,7,UL,0,0,0,0
22,8,DL,8.02557,0.131563,0.717384,14.876
22,8,UL,0,0,0,0
22,9,DL,0,0,0,0
22,9,UL,0,0,0,0
22,10,DL,0,0,0,0
22,10,UL,0,0,0,0
22,11,DL,0,0,0,0
22,11,UL,0,0,0,0
22,12,DL,0,0,0,0
22,12,UL,0,0,0,0
22,13,DL,0,0,0,0
22,13,UL,0,0,0,0
22,14,DL,0,0,0,0
22,14,UL,0,0,0,0
24,0,DL,9.0815,0.0428474,0.917122,19.3277
24,0,UL,0,0,0,0
24,1,DL,0,0,0,0
24,1,UL,0,0,0,0
24,2,DL,0,0,0,0
24,2,UL,0,0,0,0
24,3,DL,2.86839,0.00248644,4.1846,86.7769
24,3,UL,0,0,0,0
24,4,DL,0.276104,0.0449023,2.93089,62.1849
24,4,UL,0.247032,0,0.244141,100
24,5,DL,0,0,0,0
24,5,UL,0,0,0,0
24,6,DL,0,0,0,0
24,6,UL,0,0,0,0
24,7,DL,0,0,0,0
24,7,UL,0,0,0,0
24,8,DL,8.88883,0.0869346,0.438221,9.16667
24,8,UL,0,0,0,0
24,9,DL,0,0,0,0
24,9,UL,0,0,0,0
24,10,DL,0,0,0,0
24,10,UL,0,0,0,0
24,11,DL,0,0,0,0
24,11,UL,0,0,0,0
24,12,DL,0,0,0,0
24,12,UL,0,0,0,0
24,13,DL,0,0,0,0
24,13,UL,0,0,0,0
24,14,DL,0,0,0,0
24,14,UL,0,0,0,0
26,0,DL,9.68882,0.0156503,2.5499,53.7815
26,0,UL,0,0,0,0
26,1,DL,0,0,0,0
26,1,UL,0,0,0,0
26,2,DL,0,0,0,0
26,2,UL,0,0,0,0
26,3,DL,3.0778,0.00231173,2.62898,54.5455
26,3,UL,0,0,0,0
26,4,DL,0.253868,0.000524973,2.66788,55.3719
26,4,UL,0.247032,0,0.244141,100
26,5,DL,0,0,0,0
26,5,UL,0,0,0,0
26,6,DL,0,0,0,0
26,6,UL,0,0,0,0
26,7,DL,0,0,0,0
26,7,UL,0,0,0,0
26,8,DL,9.97913,0.0479342,1.15543,24.1667
26,8,UL,0,0,0,0
26,9,DL,0,0,0,0
26,9,UL,0,0,0,0
26,10,DL,0,0,0,0
26,10,UL,0,0,0,0
26,11,DL,0,0,0,0
26,11,UL,0,0,0,0
26,12,DL,0,0,0,0
26,12,UL,0,0,0,0
26,13,DL,0,0,0,0
26,13,UL,0,0,0,0
26,14,DL,0,0,0,0
26,14,UL,0,0,0,0
28,0,DL,0,0,0,0
28,0,UL,0,0,0,0
28,1,DL,0.733286,0.103533,0.279251,5.83333
28,1,UL,0,0,0,0
28,2,DL,0,0,0,0
28,2,UL,0,0,0,0
28,3,DL,3.37593,0.0375721,2.08146,43.8017
28,3,UL,0,0,0,0
28,4,DL,0,0,0,0
28,4,UL,0.247032,0,0.244141,100
28,5,DL,0,0,0,0
28,5,UL,0,0,0,0
28,6,DL,0,0,0,0
28,6,UL,0,0,0,0
28,7,DL,0,0,0,0
28,7,UL,0,0,0,0
28,8,DL,10.9803,0.849053,0.0399666,0.833333
28,8,UL,0,0,0,0
28,9,DL,0,0,0,0
28,9,UL,0,0,0,0
28,10,DL,0,0,0,0
28,10,UL,0,0,0,0
28,11,DL,0,0,0,0
28,11,UL,0,0,0,0
28,12,DL,0,0,0,0
28,12,UL,0,0,0,0
28,13,DL,0,0,0,0
28,13,UL,0,0,0,0
28,14,DL,0.198533,0.123041,0.0794373,1.62602
28,14,UL,0,0,0,0
30,0,DL,0,0,0,0
30,0,UL,0,0,0,0
30,1,DL,0,0,0,0
30,1,UL,0,0,0,0
30,2,DL,0,0,0,0
30,2,UL,0,0,0,0
30,3,DL,3.62174,0.0109569,1.91128,40
30,3,UL,0,0,0,0
30,4,DL,0,0,0,0
30,4,UL,0.247032,0,0.244141,100
30,5,DL,0,0,0,0
30,5,UL,0,0,0,0
30,6,DL,0,0,0,0
30,6,UL,0,0,0,0
30,7,DL,0,0,0,0
30,7,UL,0,0,0,0
30,8,DL,0,0,0,0
30,8,UL,0,0,0,0
30,9,DL,0,0,0,0
30,9,UL,0,0,0,0
30,10,DL,0,0,0,0
30,10,UL,0,0,0,0
30,11,DL,0,0,0,0
30,11,UL,0,0,0,0
30,12,DL,0,0,0,0
30,12,UL,0,0,0,0
30,13,DL,0,0,0,0
30,13,UL,0,0,0,0
30,14,DL,0,0,0,0
30,14,UL,0,0,0,0
32,0,DL,0,0,0,0
32,0,UL,0,0,0,0
32,1,DL,0,0,0,0
32,1,UL,0,0,0,0
32,2,DL,0,0,0,0
32,2,UL,0,0,0,0
32,3,DL,3.93036,0.00702555,3.58631,75
32,3,UL,0,0,0,0
32,4,DL,0.256036,0.00187604,4.46363,93.3333
32,4,UL,0.247032,0,0.244141,100
32,5,DL,0,0,0,0
32,5,UL,0,0,0,0
32,6,DL,0,0,0,0
32,6,UL,0,0,0,0
32,7,DL,0,0,0,0
32,7,UL,0,0,0,0
32,8,DL,0,0,0,0
32,8,UL,0,0,0,0
32,9,DL,0,0,0,0
32,9,UL,0,0,0,0
32,10,DL,0,0,0,0
32,10,UL,0,0,0,0
32,11,DL,0,0,0,0
32,11,UL,0,0,0,0
32,12,DL,0,0,0,0
32,12,UL,0,0,0,0
32,13,DL,3.91109,0.498166,0.15937,3.30579
32,13,UL,0,0,0,0
32,14,DL,0,0,0,0
32,14,UL,0,0,0,0
34,0,DL,0,0,0,0
34,0,UL,0,0,0,0
34,1,DL,0,0,0,0
34,1,UL,0,0,0,0
34,2,DL,0,0,0,0
34,2,UL,0,0,0,0
34,3,DL,4.16203,0.00241651,4.18255,87.5
34,3,UL,0,0,0,0
34,4,DL,0.269356,0.0060044,2.31097,48.3333
34,4,UL,0.247032,0,0.244141,100
34,5,DL,0,0,0,0
34,5,UL,0,0,0,0
34,6,DL,0,0,0,0
34,6,UL,0,0,0,0
34,7,DL,0.287649,0.0107467,0.318752,6.66667
34,7,UL,0,0,0,0
34,8,DL,0,0,0,0
34,8,UL,0,0,0,0
34,9,DL,0,0,0,0
34,9,UL,0,0,0,0
34,10,DL,0,0,0,0
34,10,UL,0,0,0,0
34,11,DL,0,0,0,0
34,11,UL,0,0,0,0
34,12,DL,0,0,0,0
34,12,UL,0,0,0,0
34,13,DL,0,0,0,0
34,13,UL,0,0,0,0
34,14,DL,0,0,0,0
34,14,UL,0,0,0,0
36,0,DL,0,0,0,0
36,0,UL,0,0,0,0
36,1,DL,0,0,0,0
36,1,UL,0,0,0,0
36,2,DL,0.0193257,0.00248152,2.15277,45.3782
36,2,UL,0,0,0,0
36,3,DL,4.41732,0.00228398,4.18231,87.5
36,3,UL,0,0,0,0
36,4,DL,0.25799,0.00315032,4.70116,98.3333
36,4,UL,0.247032,0,0.043457,17.8
36,5,DL,0,0,0,0
36,5,UL,0,0,0,0
36,6,DL,0,0,0,0
36,6,UL,0,0,0,0
36,7,DL,0,0,0,0
36,7,UL,0,0,0,0
36,8,DL,0,0,0,0
36,8,UL,0,0,0,0
36,9,DL,0,0,0,0
36,9,UL,0,0,0,0
36,10,DL,0,0,0,0
36,10,UL,0,0,0,0
36,11,DL,0,0,0,0
36,11,UL,0,0,0,0
36,12,DL,0,0,0,0
36,12,UL,0,0,0,0
36,13,DL,0,0,0,0
36,13,UL,0,0,0,0
36,14,DL,0,0,0,0
36,14,UL,0,0,0,0
38,0,DL,0,0,0,0
38,0,UL,0,0,0,0
38,1,DL,0,0,0,0
38,1,UL,0,0,0,0
38,2,DL,0.025177,0.00481038,4.1445,85.9504
38,2,UL,0,0,0,0
38,3,DL,4.61722,0.00254181,2.62922,55
38,3,UL,0,0,0,0
38,4,DL,0.27139,0.00664339,2.27184,47.1074
38,4,UL,0,0,0,0
38,5,DL,0,0,0,0
38,5,UL,0,0,0,0
38,6,DL,0,0,0,0
38,6,UL,0,0,0,0
38,7,DL,0,0,0,0
38,7,UL,0,0,0,0
38,8,DL,0,0,0,0
38,8,UL,0,0,0,0
38,9,DL,0,0,0,0
38,9,UL,0,0,0,0
38,10,DL,0,0,0,0
38,10,UL,0,0,0,0
38,11,DL,0,0,0,0
38,11,UL,0,0,0,0
38,12,DL,0,0,0,0
38,12,UL,0,0,0,0
38,13,DL,0,0,0,0
38,13,UL,0,0,0,0
38,14,DL,0,0,0,0
38,14,UL,0,0,0,0
40,0,DL,0,0,0,0
40,0,UL,0,0,0,0
40,1,DL,0,0,0,0
40,1,UL,0,0,0,0
40,2,DL,0.0127558,0.000468079,2.66948,55.3719
40,2,UL,0,0,0,0
40,3,DL,4.8872,0.0071992,2.3091,49.1525
40,3,UL,0,0,0,0
40,4,DL,0.297072,0.0587815,2.50117,52.0661
40,4,UL,0,0,0,0
40,5,DL,0,0,0,0
40,5,UL,0,0,0,0
40,6,DL,0,0,0,0
40,6,UL,0,0,0,0
40,7,DL,0,0,0,0
40,7,UL,0,0,0,0
40,8,DL,0,0,0,0
40,8,UL,0,0,0,0
40,9,DL,0,0,0,0
40,9,UL,0,0,0,0
40,10,DL,0,0,0,0
40,10,UL,0,0,0,0
40,11,DL,0,0,0,0
40,11,UL,0,0,0,0
40,12,DL,0.253822,0.000471895,1.83141,38.0165
40,12,UL,0,0,0,0
40,13,DL,0,0,0,0
40,13,UL,0,0,0,0
40,14,DL,0,0,0,0
40,14,UL,0,0,0,0
42,0,DL,0,0,0,0
42,0,UL,0,0,0,0
42,1,DL,0,0,0,0
42,1,UL,0,0,0,0
42,2,DL,0.0179742,0.0037941,2.03218,42.5
42,2,UL,0,0,0,0
42,3,DL,5.15548,0.0112945,1.67285,35
42,3,UL,0,0,0,0
42,4,DL,0.389714,0.248875,0.557644,11.5702
42,4,UL,0,0,0,0
42,5,DL,0,0,0,0
42,5,UL,0,0,0,0
42,6,DL,0,0,0,0
42,6,UL,0,0,0,0
42,7,DL,0,0,0,0
42,7,UL,0,0,0,0
42,8,DL,0,0,0,0
42,8,UL,0,0,0,0
42,9,DL,0,0,0,0
42,9,UL,0,0,0,0
42,10,DL,0,0,0,0
42,10,UL,0,0,0,0
42,11,DL,0,0,0,0
42,11,UL,0,0,0,0
42,12,DL,0,0,0,0
42,12,UL,0,0,0,0
42,13,DL,0,0,0,0
42,13,UL,0,0,0,0
42,14,DL,0,0,0,0
42,14,UL,0,0,0,0
44,0,DL,0,0,0,0
44,0,UL,0,0,0,0
44,1,DL,0,0,0,0
44,1,UL,0,0,0,0
44,2,DL,0.15462,0.0133947,1.23449,25.8333
44,2,UL,0,0,0,0
44,3,DL,5.4067,0.0143585,1.39401,28.9256
44,3,UL,0,0,0,0
44,4,DL,0.279747,0.0134213,0.478069,10.084
44,4,UL,0,0,0,0
44,5,DL,0,0,0,0
44,5,UL,0,0,0,0
44,6,DL,0,0,0,0
44,6,UL,0,0,0,0
44,7,DL,0,0,0,0
44,7,UL,0,0,0,0
44,8,DL,0,0,0,0
44,8,UL,0,0,0,0
44,9,DL,0,0,0,0
44,9,UL,0,0,0,0
44,10,DL,0,0,0,0
44,10,UL,0,0,0,0
44,11,DL,0,0,0,0
44,11,UL,0,0,0,0
44,12,DL,0,0,0,0
44,12,UL,0,0,0,0
44,13,DL,0,0,0,0
44,13,UL,0,0,0,0
44,14,DL,0,0,0,0
44,14,UL,0,0,0,0
46,0,DL,0,0,0,0
46,0,UL,0,0,0,0
46,1,DL,0,0,0,0
46,1,UL,0,0,0,0
46,2,DL,0.208087,0.00334733,0.198822,4.20168
46,2,UL,0,0,0,0
46,3,DL,5.62667,0.0105823,1.47401,31.0924
46,3,UL,0,0,0,0
46,4,DL,0,0,0,0
