Time,UE,Delay,Jitter,Throughput,PDR,PLR
2,0,0,0,0,0,0
2,1,0,0,0,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,0,0,0,0,0
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,0,0,0
2,17,0,0,0,0,0
2,18,0,0,0,0,0
2,19,0,0,0,0,0
2,20,0,0,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,0,0,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,0,0,0,0,0
2,29,0,0,0,0,0
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
2,34,0,0,0,0,0
2,35,0,0,0,0,0
2,36,0,0,0,0,0
2,37,0,0,0,0,0
2,38,0,0,0,0,0
2,39,0,0,0,0,0
2,40,0,0,0,0,0
2,41,0,0,0,0,0
2,42,0,0,0,0,0
2,43,0,0,0,0,0
2,44,0,0,0,0,0
2,45,0,0,0,0,0
2,46,0,0,0,0,0
2,47,0,0,0,0,0
2,48,0,0,0,0,0
2,49,0,0,0,0,0
4,0,0.00385236,0.000210415,0.391168,100,0
4,1,0.131283,0.0306021,0.24448,39.2157,60.7843
4,2,0.122661,0.0278917,0.348384,65.5172,34.4828
4,3,0.1404,0.0299376,0.195584,39.0244,60.9756
4,4,0.153054,0.0318563,0.055008,13.0435,86.9565
4,5,0.12843,0.0337387,0.299488,55.6818,44.3182
4,6,0.141875,0.0329029,0.220032,46.7532,53.2468
4,7,0.136987,0.0350388,0.067232,17.1875,82.8125
4,8,0.0908154,0.0218031,0.317824,78.7879,21.2121
4,9,0.140328,0.0293283,0.287264,55.9524,44.0476
4,10,0.137984,0.0290727,0.177248,35.8025,64.1975
4,11,0.116831,0.024556,0.330048,68.3544,31.6456
4,12,0.119267,0.0362814,0.158912,33.3333,66.6667
4,13,0.08784,0.0273806,0.317824,72.2222,27.7778
4,14,0.111002,0.029152,0.24448,68.9655,31.0345
4,15,0.003934,0.000458942,0.464512,100,0
4,16,0.0176029,0.00594773,0.415616,95.7746,4.22535
4,17,0.0597021,0.0153906,0.385056,90,10
4,18,0.0476672,0.0153762,0.48896,91.954,8.04598
4,19,0.122706,0.0349411,0.378944,60.7843,39.2157
4,20,0.00413642,0.000440867,0.48896,100,0
4,21,0.0862458,0.0223168,0.348384,77.027,22.973
4,22,0.1176,0.0222096,0.433952,72.449,27.551
4,23,0.125575,0.0315085,0.385056,63,37
4,24,0.15526,0.0334552,0.03056,7.8125,92.1875
4,25,0.09429,0.0269606,0.3056,74.6269,25.3731
4,26,0.126897,0.0439527,0.110016,23.3766,76.6234
4,27,0.00365549,0.000370624,0.464512,100,0
4,28,0.0265373,0.00973115,0.507296,95.4023,4.5977
4,29,0.103549,0.0293972,0.268928,63.7681,36.2319
4,30,0.145196,0.0370411,0.165024,38.0282,61.9718
4,31,0.102734,0.0229947,0.330048,69.2308,30.7692
4,32,0.150069,0.0316695,0.171136,46.6667,53.3333
4,33,0.124933,0.0384551,0.134464,33.8462,66.1538
4,34,0.0921874,0.0231212,0.281152,63.8889,36.1111
4,35,0.148883,0.0340724,0.116128,23.1707,76.8293
4,36,0.123125,0.0294513,0.268928,53.012,46.988
4,37,0.145709,0.036356,0.146688,30.3797,69.6203
4,38,0.116557,0.0332206,0.256704,57.5342,42.4658
