Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,0,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,0,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,0,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,2,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,2,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,2,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,4,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,4,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,4,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,6,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,6,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,6,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,8,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,8,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,8,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,10,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,10,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
14.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,10,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,0,5,1,143.511,1,0,-41.5789,HEALTHY,12,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,1,6,1,110.88,1,0,-39.3382,HEALTHY,12,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
16.5,tn-uav,2,7,1,133.08,1,0,-40.9235,HEALTHY,12,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
18.5,tn-uav,0,5,1,145.266,1,0,-41.6845,HEALTHY,14,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
18.5,tn-uav,1,6,1,109.444,1,0,-39.2251,HEALTHY,14,HEALTHY,0,0,-999,-999,0,0,DISABLED,TN_DIRECT,TN_E2,LOCAL_UAV_AUTONOMY,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
