Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
4.5,tn-uav-satellite,0,5,-64.2447,0,12.3134,7.79283,1,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav-satellite,1,6,-59.6999,0,12.2681,7.74747,1,TN_DIRECT,TN_DIRECT,True,1
4.5,tn-uav-satellite,2,7,-59.9085,0,10.0691,5.54852,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,0,5,-65.7369,0,15.5366,11.016,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,1,6,-61.3205,0,11.1817,6.66114,1,TN_DIRECT,TN_DIRECT,True,1
6.5,tn-uav-satellite,2,7,-59.2856,0,13.7714,9.2508,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,0,5,-64.5071,0,14.9788,10.4582,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,1,6,-55.1895,0,15.6188,11.0982,1,TN_DIRECT,TN_DIRECT,True,1
8.5,tn-uav-satellite,2,7,-57.2966,0,11.8103,7.28969,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,2,7,-57.9022,0,15.7782,11.2576,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,1,6,-64.6635,0,14.3614,9.84079,1,TN_DIRECT,TN_DIRECT,True,1
10.5,tn-uav-satellite,0,5,-64.2782,0,12.5394,8.0188,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,0,5,-64.1378,0,14.3691,9.84847,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,1,6,-54.8512,0,14.1595,9.63894,1,TN_DIRECT,TN_DIRECT,True,1
12.5,tn-uav-satellite,2,7,-58.0655,0,12.5189,7.99831,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,0,5,-61.658,0,11.9451,7.4245,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,1,6,-61.1698,0,12.6861,8.1655,1,TN_DIRECT,TN_DIRECT,True,1
14.5,tn-uav-satellite,2,7,-61.1617,0,14.0477,9.52714,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,0,5,-66.037,0,11.0141,6.4935,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,1,6,-60.0844,0,11.4811,6.96051,1,TN_DIRECT,TN_DIRECT,True,1
16.5,tn-uav-satellite,2,7,-59.6299,0,10.0006,5.47999,1,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav-satellite,2,7,-58.142,0,12.5496,8.02898,1,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav-satellite,0,5,-63.1671,0,12.7501,8.22947,1,TN_DIRECT,TN_DIRECT,True,1
18.5,tn-uav-satellite,1,6,-57.7154,0,11.3327,6.81211,1,TN_DIRECT,TN_DIRECT,True,1
20.5,tn-uav-satellite,0,5,-65.9146,0,15.678,11.1574,1,TN_DIRECT,TN_DIRECT,True,1
