Time,DeploymentMode,UavIndex,UavCellId,BestDonorCellId,BestDonorDistanceM,XhaulConnected,XhaulChannelVariationDb,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,XhaulDegradationActive,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,UavSwitchingXappAvailable,UavSwitchingXappState,BackhaulMode,RicControlState,ActiveUavRic,NormalUeHandoverAllowed,E2TxDelaySec,E2SendIntervalSec,LmQueryIntervalSec,UavMode
4.5,tn-uav-satellite,0,5,1,1451.84,1,0.434841,-103.074,UNREACHABLE,0,UNREACHABLE,0,0,11.1239,6.60328,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
4.5,tn-uav-satellite,1,6,4,629.258,1,-2.28216,-85.4578,HEALTHY,0,HEALTHY,0,0,13.2955,8.77486,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
4.5,tn-uav-satellite,2,7,2,765.017,1,-0.793916,-88.7207,HEALTHY,0,HEALTHY,0,0,9.35337,4.83277,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,0,5,1,1507.53,1,-3.5052,-107.929,UNREACHABLE,2,UNREACHABLE,0,0,12.0601,7.5395,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
6.5,tn-uav-satellite,1,6,4,650.432,1,-3.9027,-87.8832,HEALTHY,2,HEALTHY,0,0,10.8018,6.28116,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
6.5,tn-uav-satellite,2,7,2,816.13,1,-0.170944,-89.6707,HEALTHY,2,HEALTHY,0,0,12.3788,7.85816,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,0,5,1,1577.16,1,0.172433,-105.35,UNREACHABLE,4,UNREACHABLE,0,0,12.2075,7.6869,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
8.5,tn-uav-satellite,1,6,4,682.445,1,2.22826,-82.9207,HEALTHY,4,HEALTHY,0,0,12.4923,7.97173,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
8.5,tn-uav-satellite,2,7,2,880.851,1,0.725406,-90.6303,HEALTHY,4,HEALTHY,0,0,11.4629,6.94233,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,0,5,3,1805.8,1,1.3721,-107.443,UNREACHABLE,6,UNREACHABLE,0,0,12.5667,8.04614,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
10.5,tn-uav-satellite,1,6,4,719.848,1,-7.24567,-93.6923,HEALTHY,6,HEALTHY,0,0,12.5949,8.0743,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
10.5,tn-uav-satellite,2,7,2,946.315,1,-4.11727,-97.2165,HEALTHY,6,HEALTHY,0,0,10.7995,6.27887,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
12.5,tn-uav-satellite,0,5,2,2170.5,1,2.9061,-110.382,UNREACHABLE,8,UNREACHABLE,0,0,13.9006,9.38005,1,1,ACTIVE,SATELLITE_FALLBACK,NEAR_RT_RIC_SWITCHING_TO_SATELLITE_BACKHAUL,TN_NEAR_RT_RIC,1,0.1,2,2,NEAR_RT_RIC_EMERGENCY_SWITCHING_WITH_SATELLITE_BACKHAUL
12.5,tn-uav-satellite,1,6,4,761.847,1,2.56656,-85.2592,HEALTHY,8,HEALTHY,0,0,13.5917,9.07114,1,1,STANDBY,TN_DIRECT,TN_E2,TN_NEAR_RT_RIC,1,0.1,2,2,TN_CONTROLLED_COVERAGE_EXTENSION
