time,ueId,rnti,servingCell,servingRsrp,candidateCell,candidateRsrp,candidateLoad,candidateEffLoad,candidateCap,candidateIsNtn,backhaulDlSnr,backhaulUlSnr,finalChosenCell
6.5,8,24,2,-78.0945,3,-85.565,5,5,20,0,-999,-999,0
6.5,8,24,2,-78.0945,4,-105.974,4,4,20,0,-999,-999,0
6.5,8,24,2,-78.0945,1,-119.214,4,4,20,0,-999,-999,0
6.5,8,24,2,-78.0945,7,-120.665,2,2,15,1,11.2459,6.72529,0
6.5,8,24,2,-78.0945,6,-136.732,5,5,15,1,13.2401,8.7195,0
6.5,8,24,2,-78.0945,5,-139.202,2,2,15,1,12.4221,7.9015,0
6.5,9,8,2,-71.354,1,-113.001,4,4,20,0,-999,-999,0
6.5,9,8,2,-71.354,4,-119.341,4,4,20,0,-999,-999,0
6.5,9,8,2,-71.354,3,-125.016,5,5,20,0,-999,-999,0
6.5,9,8,2,-71.354,6,-129.696,5,5,15,1,13.2401,8.7195,0
6.5,9,8,2,-71.354,7,-129.878,2,2,15,1,11.2459,6.72529,0
6.5,9,8,2,-71.354,5,-132.16,2,2,15,1,12.4221,7.9015,0
6.5,10,32,1,-105.069,4,-90.9981,4,4,20,0,-999,-999,0
6.5,10,32,1,-105.069,6,-92.5668,5,5,15,1,13.2401,8.7195,0
6.5,10,32,1,-105.069,7,-101.502,2,2,15,1,11.2459,6.72529,0
6.5,10,32,1,-105.069,5,-101.62,2,2,15,1,12.4221,7.9015,0
6.5,10,32,1,-105.069,3,-117.498,5,5,20,0,-999,-999,0
6.5,10,32,1,-105.069,2,-126.785,3,3,20,0,-999,-999,0
6.5,14,15,5,-95.4614,3,-104.799,5,5,20,0,-999,-999,0
6.5,14,15,5,-95.4614,1,-137.973,4,4,20,0,-999,-999,0
6.5,14,15,5,-95.4614,2,-143.297,3,3,20,0,-999,-999,0
6.5,14,15,5,-95.4614,4,-154.226,4,4,20,0,-999,-999,0
6.5,14,15,5,-95.4614,7,-156.764,2,2,15,1,11.2459,6.72529,0
6.5,14,15,5,-95.4614,6,-161.718,5,5,15,1,13.2401,8.7195,0
6.5,15,29,3,-90.0472,6,-107.074,5,5,15,1,13.2401,8.7195,0
6.5,15,29,3,-90.0472,1,-109.87,4,4,20,0,-999,-999,0
6.5,15,29,3,-90.0472,2,-119.476,3,3,20,0,-999,-999,0
6.5,15,29,3,-90.0472,5,-121.51,2,2,15,1,12.4221,7.9015,0
6.5,15,29,3,-90.0472,7,-136.331,2,2,15,1,11.2459,6.72529,0
6.5,15,29,3,-90.0472,4,-137.669,4,4,20,0,-999,-999,0
6.5,23,22,1,-80.1761,2,-110.26,3,3,20,0,-999,-999,0
6.5,23,22,1,-80.1761,4,-119.135,4,4,20,0,-999,-999,0
6.5,23,22,1,-80.1761,3,-124.948,5,5,20,0,-999,-999,0
6.5,23,22,1,-80.1761,6,-135.633,5,5,15,1,13.2401,8.7195,0
6.5,23,22,1,-80.1761,7,-135.701,2,2,15,1,11.2459,6.72529,0
6.5,23,22,1,-80.1761,5,-136.778,2,2,15,1,12.4221,7.9015,0
6.5,24,40,3,-114.473,5,-89.424,2,2,15,1,12.4221,7.9015,0
6.5,24,40,3,-114.473,7,-92.4103,2,2,15,1,11.2459,6.72529,0
6.5,24,40,3,-114.473,2,-103.961,3,3,20,0,-999,-999,0
6.5,24,40,3,-114.473,1,-117.975,4,4,20,0,-999,-999,0
6.5,24,40,3,-114.473,6,-121.223,5,5,15,1,13.2401,8.7195,0
6.5,24,40,3,-114.473,4,-139.825,4,4,20,0,-999,-999,0
6.5,26,30,3,-119.802,5,-99.5184,2,2,15,1,12.4221,7.9015,0
6.5,26,30,3,-119.802,6,-108.887,5,5,15,1,13.2401,8.7195,0
6.5,26,30,3,-119.802,4,-114.245,4,4,20,0,-999,-999,0
6.5,26,30,3,-119.802,1,-120.501,4,4,20,0,-999,-999,0
6.5,26,30,3,-119.802,2,-121.969,3,3,20,0,-999,-999,0
6.5,26,30,3,-119.802,7,-131.343,2,2,15,1,11.2459,6.72529,0
6.5,32,24,4,-97.2914,6,-91.2206,5,5,15,1,13.2401,8.7195,0
6.5,32,24,4,-97.2914,1,-99.7716,4,4,20,0,-999,-999,0
6.5,32,24,4,-97.2914,3,-103.592,5,5,20,0,-999,-999,0
6.5,32,24,4,-97.2914,5,-134.537,2,2,15,1,12.4221,7.9015,0
6.5,32,24,4,-97.2914,2,-139.947,3,3,20,0,-999,-999,0
6.5,32,24,4,-97.2914,7,-140.515,2,2,15,1,11.2459,6.72529,0
6.5,33,8,7,-88.3789,3,-111.588,5,5,20,0,-999,-999,0
6.5,33,8,7,-88.3789,6,-112.776,5,5,15,1,13.2401,8.7195,0
6.5,33,8,7,-88.3789,2,-115.308,3,3,20,0,-999,-999,0
6.5,33,8,7,-88.3789,1,-118.345,4,4,20,0,-999,-999,0
6.5,33,8,7,-88.3789,4,-133.094,4,4,20,0,-999,-999,0
6.5,33,8,7,-88.3789,5,-133.959,2,2,15,1,12.4221,7.9015,0
6.5,42,32,6,-83.957,4,-116.67,4,4,20,0,-999,-999,0
6.5,42,32,6,-83.957,1,-121.612,4,4,20,0,-999,-999,0
6.5,42,32,6,-83.957,3,-126.155,5,5,20,0,-999,-999,0
6.5,42,32,6,-83.957,2,-126.504,3,3,20,0,-999,-999,0
6.5,42,32,6,-83.957,7,-135.817,2,2,15,1,11.2459,6.72529,0
6.5,42,32,6,-83.957,5,-137.885,2,2,15,1,12.4221,7.9015,0
6.5,43,31,3,-53.5548,7,-114.583,2,2,15,1,11.2459,6.72529,0
6.5,43,31,3,-53.5548,2,-126.842,3,3,20,0,-999,-999,0
6.5,43,31,3,-53.5548,1,-127.173,4,4,20,0,-999,-999,0
6.5,43,31,3,-53.5548,6,-139.527,5,5,15,1,13.2401,8.7195,0
6.5,43,31,3,-53.5548,5,-139.872,2,2,15,1,12.4221,7.9015,0
6.5,43,31,3,-53.5548,4,-143.611,4,4,20,0,-999,-999,0
6.5,46,15,6,-112.237,2,-107.105,3,3,20,0,-999,-999,0
6.5,46,15,6,-112.237,4,-111.363,4,4,20,0,-999,-999,0
6.5,46,15,6,-112.237,5,-116.344,2,2,15,1,12.4221,7.9015,0
6.5,46,15,6,-112.237,7,-133.552,2,2,15,1,11.2459,6.72529,0
6.5,46,15,6,-112.237,1,-140.58,4,4,20,0,-999,-999,0
6.5,46,15,6,-112.237,3,-141.352,5,5,20,0,-999,-999,0
6.5,47,32,3,-80.292,7,-90.2215,2,2,15,1,11.2459,6.72529,0
6.5,47,32,3,-80.292,1,-108.045,4,4,20,0,-999,-999,0
6.5,47,32,3,-80.292,2,-121.491,3,3,20,0,-999,-999,0
6.5,47,32,3,-80.292,5,-138.296,2,2,15,1,12.4221,7.9015,0
6.5,47,32,3,-80.292,6,-141.397,5,5,15,1,13.2401,8.7195,0
6.5,47,32,3,-80.292,4,-142.158,4,4,20,0,-999,-999,0
6.5,48,16,6,-65.4077,4,-111.089,4,4,20,0,-999,-999,0
6.5,48,16,6,-65.4077,3,-121.096,5,5,20,0,-999,-999,0
6.5,48,16,6,-65.4077,2,-126.92,3,3,20,0,-999,-999,0
6.5,48,16,6,-65.4077,5,-142.059,2,2,15,1,12.4221,7.9015,0
6.5,48,16,6,-65.4077,7,-147.826,2,2,15,1,11.2459,6.72529,0
6.5,48,16,6,-65.4077,1,-150.807,4,4,20,0,-999,-999,0
6.5,49,8,4,-72.3564,1,-92.095,4,4,20,0,-999,-999,0
6.5,49,8,4,-72.3564,7,-101.452,2,2,15,1,11.2459,6.72529,0
6.5,49,8,4,-72.3564,6,-123.143,5,5,15,1,13.2401,8.7195,0
6.5,49,8,4,-72.3564,2,-131.84,3,3,20,0,-999,-999,0
6.5,49,8,4,-72.3564,5,-136.547,2,2,15,1,12.4221,7.9015,0
6.5,49,8,4,-72.3564,3,-138.43,5,5,20,0,-999,-999,0
6.5,54,16,2,-117.991,1,-92.9629,4,4,20,0,-999,-999,0
6.5,54,16,2,-117.991,4,-118.114,4,4,20,0,-999,-999,0
6.5,54,16,2,-117.991,5,-118.367,2,2,15,1,12.4221,7.9015,0
6.5,54,16,2,-117.991,6,-126.165,5,5,15,1,13.2401,8.7195,0
6.5,54,16,2,-117.991,3,-130.16,5,5,20,0,-999,-999,0
6.5,54,16,2,-117.991,7,-130.549,2,2,15,1,11.2459,6.72529,0
6.5,56,23,1,-63.2245,3,-89.0636,5,5,20,0,-999,-999,0
6.5,56,23,1,-63.2245,2,-109,3,3,20,0,-999,-999,0
6.5,56,23,1,-63.2245,4,-130.051,4,4,20,0,-999,-999,0
6.5,56,23,1,-63.2245,7,-136.245,2,2,15,1,11.2459,6.72529,0
6.5,56,23,1,-63.2245,6,-137.119,5,5,15,1,13.2401,8.7195,0
6.5,56,23,1,-63.2245,5,-137.296,2,2,15,1,12.4221,7.9015,0
6.5,60,16,5,-115.658,2,-129.431,3,3,20,0,-999,-999,0
6.5,60,16,5,-115.658,1,-131.777,4,4,20,0,-999,-999,0
6.5,60,16,5,-115.658,3,-139.539,5,5,20,0,-999,-999,0
6.5,60,16,5,-115.658,7,-140.761,2,2,15,1,11.2459,6.72529,0
6.5,60,16,5,-115.658,6,-154.328,5,5,15,1,13.2401,8.7195,0
6.5,60,16,5,-115.658,4,-160.697,4,4,20,0,-999,-999,0
6.5,61,24,6,-82.3376,4,-112.802,4,4,20,0,-999,-999,0
6.5,61,24,6,-82.3376,2,-140.459,3,3,20,0,-999,-999,0
6.5,61,24,6,-82.3376,3,-143.609,5,5,20,0,-999,-999,0
6.5,61,24,6,-82.3376,5,-147.724,2,2,15,1,12.4221,7.9015,0
6.5,61,24,6,-82.3376,1,-148.861,4,4,20,0,-999,-999,0
6.5,61,24,6,-82.3376,7,-153.51,2,2,15,1,11.2459,6.72529,0
6.5,71,16,7,-68.8495,4,-116.399,4,4,20,0,-999,-999,0
6.5,71,16,7,-68.8495,2,-116.978,3,3,20,0,-999,-999,0
6.5,71,16,7,-68.8495,1,-125.199,4,4,20,0,-999,-999,0
6.5,71,16,7,-68.8495,3,-139.891,5,5,20,0,-999,-999,0
6.5,71,16,7,-68.8495,6,-142.73,5,5,15,1,13.2401,8.7195,0
6.5,71,16,7,-68.8495,5,-153.393,2,2,15,1,12.4221,7.9015,0
6.5,73,16,4,-112.395,2,-122.905,3,3,20,0,-999,-999,0
6.5,73,16,4,-112.395,1,-123.353,4,4,20,0,-999,-999,0
6.5,73,16,4,-112.395,6,-126.944,5,5,15,1,13.2401,8.7195,0
6.5,73,16,4,-112.395,7,-129.387,2,2,15,1,11.2459,6.72529,0
6.5,73,16,4,-112.395,3,-131.926,5,5,20,0,-999,-999,0
6.5,73,16,4,-112.395,5,-135.736,2,2,15,1,12.4221,7.9015,0
6.5,78,24,1,-74.0339,2,-111.152,3,3,20,0,-999,-999,0
6.5,78,24,1,-74.0339,3,-119.768,5,5,20,0,-999,-999,0
6.5,78,24,1,-74.0339,7,-123.866,2,2,15,1,11.2459,6.72529,0
6.5,78,24,1,-74.0339,5,-130.713,2,2,15,1,12.4221,7.9015,0
6.5,78,24,1,-74.0339,4,-135.115,4,4,20,0,-999,-999,0
6.5,78,24,1,-74.0339,6,-139.902,5,5,15,1,13.2401,8.7195,0
8.5,8,24,2,-104.565,1,-103.932,5,5,20,0,-999,-999,0
8.5,8,24,2,-104.565,3,-111.958,6,6,20,0,-999,-999,0
8.5,8,24,2,-104.565,4,-129.46,5,5,20,0,-999,-999,0
8.5,8,24,2,-104.565,5,-131.404,4,4,15,1,13.8681,9.34748,0
8.5,8,24,2,-104.565,7,-131.575,4,4,15,1,11.6328,7.11224,0
8.5,8,24,2,-104.565,6,-137.298,5,5,15,1,7.23738,2.71678,0
8.5,9,8,2,-108.165,4,-109.033,5,5,20,0,-999,-999,0
8.5,9,8,2,-108.165,6,-110.597,5,5,15,1,7.23738,2.71678,0
8.5,9,8,2,-108.165,7,-111.564,4,4,15,1,11.6328,7.11224,0
8.5,9,8,2,-108.165,1,-115.541,5,5,20,0,-999,-999,0
8.5,9,8,2,-108.165,3,-124.41,6,6,20,0,-999,-999,0
8.5,9,8,2,-108.165,5,-134.547,4,4,15,1,13.8681,9.34748,0
8.5,10,32,1,-82.0868,3,-110.99,6,6,20,0,-999,-999,0
8.5,10,32,1,-82.0868,2,-123.255,3,3,20,0,-999,-999,0
8.5,10,32,1,-82.0868,5,-129.961,4,4,15,1,13.8681,9.34748,0
8.5,10,32,1,-82.0868,4,-131.135,5,5,20,0,-999,-999,0
8.5,10,32,1,-82.0868,6,-136.167,5,5,15,1,7.23738,2.71678,0
8.5,10,32,1,-82.0868,7,-139.564,4,4,15,1,11.6328,7.11224,0
8.5,14,15,5,-69.9127,3,-120.638,6,6,20,0,-999,-999,0
8.5,14,15,5,-69.9127,1,-136.633,5,5,20,0,-999,-999,0
8.5,14,15,5,-69.9127,2,-138.243,3,3,20,0,-999,-999,0
8.5,14,15,5,-69.9127,4,-151.107,5,5,20,0,-999,-999,0
8.5,14,15,5,-69.9127,7,-152.972,4,4,15,1,11.6328,7.11224,0
8.5,14,15,5,-69.9127,6,-155.555,5,5,15,1,7.23738,2.71678,0
8.5,15,29,3,-90.2803,5,-111.028,4,4,15,1,13.8681,9.34748,0
8.5,15,29,3,-90.2803,1,-112.514,5,5,20,0,-999,-999,0
8.5,15,29,3,-90.2803,2,-115.942,3,3,20,0,-999,-999,0
8.5,15,29,3,-90.2803,7,-138.959,4,4,15,1,11.6328,7.11224,0
8.5,15,29,3,-90.2803,6,-140.612,5,5,15,1,7.23738,2.71678,0
8.5,15,29,3,-90.2803,4,-141.241,5,5,20,0,-999,-999,0
8.5,21,32,4,-94.388,6,-98.6214,5,5,15,1,7.23738,2.71678,0
8.5,21,32,4,-94.388,7,-131.766,4,4,15,1,11.6328,7.11224,0
8.5,21,32,4,-94.388,2,-133.155,3,3,20,0,-999,-999,0
8.5,21,32,4,-94.388,1,-137.735,5,5,20,0,-999,-999,0
8.5,21,32,4,-94.388,3,-147.332,6,6,20,0,-999,-999,0
8.5,21,32,4,-94.388,5,-148.195,4,4,15,1,13.8681,9.34748,0
8.5,23,22,1,-84.249,4,-99.6191,5,5,20,0,-999,-999,0
8.5,23,22,1,-84.249,3,-102.399,6,6,20,0,-999,-999,0
8.5,23,22,1,-84.249,2,-104.795,3,3,20,0,-999,-999,0
8.5,23,22,1,-84.249,6,-128.723,5,5,15,1,7.23738,2.71678,0
8.5,23,22,1,-84.249,5,-129.318,4,4,15,1,13.8681,9.34748,0
8.5,23,22,1,-84.249,7,-139.404,4,4,15,1,11.6328,7.11224,0
8.5,24,40,3,-114.277,1,-95.7919,5,5,20,0,-999,-999,0
8.5,24,40,3,-114.277,2,-123.977,3,3,20,0,-999,-999,0
8.5,24,40,3,-114.277,5,-124.661,4,4,15,1,13.8681,9.34748,0
8.5,24,40,3,-114.277,7,-128.878,4,4,15,1,11.6328,7.11224,0
8.5,24,40,3,-114.277,6,-137.435,5,5,15,1,7.23738,2.71678,0
8.5,24,40,3,-114.277,4,-142.193,5,5,20,0,-999,-999,0
8.5,26,30,3,-107.512,2,-88.2287,3,3,20,0,-999,-999,0
8.5,26,30,3,-107.512,1,-102.349,5,5,20,0,-999,-999,0
8.5,26,30,3,-107.512,6,-121.026,5,5,15,1,7.23738,2.71678,0
8.5,26,30,3,-107.512,5,-131.135,4,4,15,1,13.8681,9.34748,0
8.5,26,30,3,-107.512,7,-133.266,4,4,15,1,11.6328,7.11224,0
8.5,26,30,3,-107.512,4,-134.083,5,5,20,0,-999,-999,0
8.5,32,24,4,-91.1368,1,-111.654,5,5,20,0,-999,-999,0
8.5,32,24,4,-91.1368,2,-124.206,3,3,20,0,-999,-999,0
8.5,32,24,4,-91.1368,6,-129.754,5,5,15,1,7.23738,2.71678,0
8.5,32,24,4,-91.1368,7,-136.028,4,4,15,1,11.6328,7.11224,0
8.5,32,24,4,-91.1368,5,-136.607,4,4,15,1,13.8681,9.34748,0
8.5,32,24,4,-91.1368,3,-139.668,6,6,20,0,-999,-999,0
8.5,33,8,7,-122.748,3,-99.2337,6,6,20,0,-999,-999,0
8.5,33,8,7,-122.748,2,-115.059,3,3,20,0,-999,-999,0
8.5,33,8,7,-122.748,1,-115.505,5,5,20,0,-999,-999,0
8.5,33,8,7,-122.748,6,-126.54,5,5,15,1,7.23738,2.71678,0
8.5,33,8,7,-122.748,5,-134.803,4,4,15,1,13.8681,9.34748,0
8.5,33,8,7,-122.748,4,-134.982,5,5,20,0,-999,-999,0
8.5,39,40,6,-151.388,5,-98.1664,4,4,15,1,13.8681,9.34748,0
8.5,39,40,6,-151.388,1,-102.357,5,5,20,0,-999,-999,0
8.5,39,40,6,-151.388,2,-118.725,3,3,20,0,-999,-999,0
8.5,39,40,6,-151.388,4,-132.587,5,5,20,0,-999,-999,0
8.5,39,40,6,-151.388,3,-139.298,6,6,20,0,-999,-999,0
8.5,39,40,6,-151.388,7,-139.842,4,4,15,1,11.6328,7.11224,0
8.5,42,32,6,-126.465,3,-107.065,6,6,20,0,-999,-999,0
8.5,42,32,6,-126.465,1,-110.701,5,5,20,0,-999,-999,0
8.5,42,32,6,-126.465,4,-119.479,5,5,20,0,-999,-999,0
8.5,42,32,6,-126.465,7,-125.519,4,4,15,1,11.6328,7.11224,0
8.5,42,32,6,-126.465,5,-125.979,4,4,15,1,13.8681,9.34748,0
8.5,42,32,6,-126.465,2,-126.726,3,3,20,0,-999,-999,0
8.5,43,31,3,-52.4584,1,-122.587,5,5,20,0,-999,-999,0
8.5,43,31,3,-52.4584,2,-127.943,3,3,20,0,-999,-999,0
8.5,43,31,3,-52.4584,5,-136.341,4,4,15,1,13.8681,9.34748,0
8.5,43,31,3,-52.4584,7,-136.735,4,4,15,1,11.6328,7.11224,0
8.5,43,31,3,-52.4584,4,-143.842,5,5,20,0,-999,-999,0
8.5,43,31,3,-52.4584,6,-143.933,5,5,15,1,7.23738,2.71678,0
8.5,46,15,6,-89.8273,2,-103.727,3,3,20,0,-999,-999,0
8.5,46,15,6,-89.8273,4,-125.736,5,5,20,0,-999,-999,0
8.5,46,15,6,-89.8273,7,-137.22,4,4,15,1,11.6328,7.11224,0
8.5,46,15,6,-89.8273,1,-138.549,5,5,20,0,-999,-999,0
8.5,46,15,6,-89.8273,3,-139.271,6,6,20,0,-999,-999,0
8.5,46,15,6,-89.8273,5,-147.613,4,4,15,1,13.8681,9.34748,0
8.5,47,32,3,-115.862,2,-88.2381,3,3,20,0,-999,-999,0
8.5,47,32,3,-115.862,1,-88.3765,5,5,20,0,-999,-999,0
8.5,47,32,3,-115.862,5,-109.263,4,4,15,1,13.8681,9.34748,0
8.5,47,32,3,-115.862,7,-126.286,4,4,15,1,11.6328,7.11224,0
8.5,47,32,3,-115.862,6,-137.699,5,5,15,1,7.23738,2.71678,0
8.5,47,32,3,-115.862,4,-141.806,5,5,20,0,-999,-999,0
8.5,48,16,6,-73.8819,4,-111.655,5,5,20,0,-999,-999,0
8.5,48,16,6,-73.8819,2,-140.45,3,3,20,0,-999,-999,0
8.5,48,16,6,-73.8819,3,-143.743,6,6,20,0,-999,-999,0
8.5,48,16,6,-73.8819,1,-144.859,5,5,20,0,-999,-999,0
8.5,48,16,6,-73.8819,5,-149.524,4,4,15,1,13.8681,9.34748,0
8.5,48,16,6,-73.8819,7,-150.532,4,4,15,1,11.6328,7.11224,0
8.5,49,8,4,-68.5883,1,-114.258,5,5,20,0,-999,-999,0
8.5,49,8,4,-68.5883,6,-115.356,5,5,15,1,7.23738,2.71678,0
8.5,49,8,4,-68.5883,2,-127.531,3,3,20,0,-999,-999,0
8.5,49,8,4,-68.5883,5,-132.904,4,4,15,1,13.8681,9.34748,0
8.5,49,8,4,-68.5883,7,-140.098,4,4,15,1,11.6328,7.11224,0
8.5,49,8,4,-68.5883,3,-140.251,6,6,20,0,-999,-999,0
8.5,54,16,2,-114.068,1,-118.003,5,5,20,0,-999,-999,0
8.5,54,16,2,-114.068,4,-122.943,5,5,20,0,-999,-999,0
8.5,54,16,2,-114.068,7,-123.215,4,4,15,1,11.6328,7.11224,0
8.5,54,16,2,-114.068,3,-126.743,6,6,20,0,-999,-999,0
8.5,54,16,2,-114.068,5,-132.765,4,4,15,1,13.8681,9.34748,0
8.5,54,16,2,-114.068,6,-133.776,5,5,15,1,7.23738,2.71678,0
8.5,56,23,1,-78.9607,5,-112.806,4,4,15,1,13.8681,9.34748,0
8.5,56,23,1,-78.9607,2,-113.22,3,3,20,0,-999,-999,0
8.5,56,23,1,-78.9607,3,-114.931,6,6,20,0,-999,-999,0
8.5,56,23,1,-78.9607,4,-117.785,5,5,20,0,-999,-999,0
8.5,56,23,1,-78.9607,6,-121.16,5,5,15,1,7.23738,2.71678,0
8.5,56,23,1,-78.9607,7,-122.328,4,4,15,1,11.6328,7.11224,0
8.5,60,16,5,-84.909,7,-124.021,4,4,15,1,11.6328,7.11224,0
8.5,60,16,5,-84.909,3,-133.664,6,6,20,0,-999,-999,0
8.5,60,16,5,-84.909,2,-136.656,3,3,20,0,-999,-999,0
8.5,60,16,5,-84.909,1,-137.996,5,5,20,0,-999,-999,0
8.5,60,16,5,-84.909,6,-152.002,5,5,15,1,7.23738,2.71678,0
8.5,60,16,5,-84.909,4,-154.484,5,5,20,0,-999,-999,0
8.5,61,24,6,-69.4296,4,-112.131,5,5,20,0,-999,-999,0
8.5,61,24,6,-69.4296,5,-121.951,4,4,15,1,13.8681,9.34748,0
8.5,61,24,6,-69.4296,2,-143.265,3,3,20,0,-999,-999,0
8.5,61,24,6,-69.4296,3,-146.542,6,6,20,0,-999,-999,0
8.5,61,24,6,-69.4296,1,-149.215,5,5,20,0,-999,-999,0
8.5,61,24,6,-69.4296,7,-153.347,4,4,15,1,11.6328,7.11224,0
8.5,71,16,7,-82.9633,2,-122.96,3,3,20,0,-999,-999,0
8.5,71,16,7,-82.9633,4,-125.531,5,5,20,0,-999,-999,0
8.5,71,16,7,-82.9633,1,-128.502,5,5,20,0,-999,-999,0
8.5,71,16,7,-82.9633,3,-136.94,6,6,20,0,-999,-999,0
8.5,71,16,7,-82.9633,6,-143.916,5,5,15,1,7.23738,2.71678,0
8.5,71,16,7,-82.9633,5,-156.339,4,4,15,1,13.8681,9.34748,0
8.5,73,16,4,-102.708,1,-102.5,5,5,20,0,-999,-999,0
8.5,73,16,4,-102.708,2,-102.698,3,3,20,0,-999,-999,0
8.5,73,16,4,-102.708,6,-124.604,5,5,15,1,7.23738,2.71678,0
8.5,73,16,4,-102.708,3,-132.001,6,6,20,0,-999,-999,0
8.5,73,16,4,-102.708,5,-138.65,4,4,15,1,13.8681,9.34748,0
8.5,73,16,4,-102.708,7,-139.286,4,4,15,1,11.6328,7.11224,0
8.5,78,24,1,-61.1745,3,-75.6344,6,6,20,0,-999,-999,0
8.5,78,24,1,-61.1745,2,-95.5769,3,3,20,0,-999,-999,0
8.5,78,24,1,-61.1745,7,-116.482,4,4,15,1,11.6328,7.11224,0
8.5,78,24,1,-61.1745,5,-122.487,4,4,15,1,13.8681,9.34748,0
8.5,78,24,1,-61.1745,4,-132.467,5,5,20,0,-999,-999,0
8.5,78,24,1,-61.1745,6,-140.268,5,5,15,1,7.23738,2.71678,0
8.5,97,24,5,-142.691,3,-122.266,6,6,20,0,-999,-999,0
8.5,97,24,5,-142.691,7,-135.145,4,4,15,1,11.6328,7.11224,0
8.5,97,24,5,-142.691,1,-136.616,5,5,20,0,-999,-999,0
8.5,97,24,5,-142.691,2,-140.068,3,3,20,0,-999,-999,0
8.5,97,24,5,-142.691,6,-141.375,5,5,15,1,7.23738,2.71678,0
8.5,97,24,5,-142.691,4,-142.166,5,5,20,0,-999,-999,0
10.5,8,24,2,-78.6055,1,-79.3264,6,6,20,0,-999,-999,0
10.5,8,24,2,-78.6055,3,-92.1949,6,6,20,0,-999,-999,0
10.5,8,24,2,-78.6055,6,-113.682,5,5,15,1,12.1945,7.67394,0
10.5,8,24,2,-78.6055,5,-115.958,7,7,15,1,13.5229,9.00227,0
10.5,8,24,2,-78.6055,7,-123.348,4,4,15,1,8.55737,4.03677,0
10.5,8,24,2,-78.6055,4,-134.998,5,5,20,0,-999,-999,0
10.5,9,8,2,-71.7011,4,-83.4602,5,5,20,0,-999,-999,0
10.5,9,8,2,-71.7011,3,-85.633,6,6,20,0,-999,-999,0
10.5,9,8,2,-71.7011,1,-124.72,6,6,20,0,-999,-999,0
10.5,9,8,2,-71.7011,6,-128.367,5,5,15,1,12.1945,7.67394,0
10.5,9,8,2,-71.7011,7,-131.414,4,4,15,1,8.55737,4.03677,0
10.5,9,8,2,-71.7011,5,-133.884,7,7,15,1,13.5229,9.00227,0
10.5,10,32,1,-68.0749,6,-105.09,5,5,15,1,12.1945,7.67394,0
10.5,10,32,1,-68.0749,3,-113.553,6,6,20,0,-999,-999,0
10.5,10,32,1,-68.0749,2,-125.464,4,4,20,0,-999,-999,0
10.5,10,32,1,-68.0749,5,-133.605,7,7,15,1,13.5229,9.00227,0
10.5,10,32,1,-68.0749,4,-134,5,5,20,0,-999,-999,0
10.5,10,32,1,-68.0749,7,-137,4,4,15,1,8.55737,4.03677,0
10.5,13,40,1,-79.5214,2,-108.331,4,4,20,0,-999,-999,0
10.5,13,40,1,-79.5214,3,-113.964,6,6,20,0,-999,-999,0
10.5,13,40,1,-79.5214,5,-128.605,7,7,15,1,13.5229,9.00227,0
10.5,13,40,1,-79.5214,7,-132.447,4,4,15,1,8.55737,4.03677,0
10.5,13,40,1,-79.5214,4,-136.993,5,5,20,0,-999,-999,0
10.5,13,40,1,-79.5214,6,-143.173,5,5,15,1,12.1945,7.67394,0
10.5,14,15,5,-85.1837,3,-120.048,6,6,20,0,-999,-999,0
10.5,14,15,5,-85.1837,1,-131.437,6,6,20,0,-999,-999,0
10.5,14,15,5,-85.1837,2,-134.46,4,4,20,0,-999,-999,0
10.5,14,15,5,-85.1837,7,-142.866,4,4,15,1,8.55737,4.03677,0
10.5,14,15,5,-85.1837,4,-153.006,5,5,20,0,-999,-999,0
10.5,14,15,5,-85.1837,6,-153.999,5,5,15,1,12.1945,7.67394,0
10.5,15,29,3,-85.5952,1,-102.286,6,6,20,0,-999,-999,0
10.5,15,29,3,-85.5952,4,-120.717,5,5,20,0,-999,-999,0
10.5,15,29,3,-85.5952,5,-125.114,7,7,15,1,13.5229,9.00227,0
10.5,15,29,3,-85.5952,2,-127.753,4,4,20,0,-999,-999,0
10.5,15,29,3,-85.5952,6,-133.339,5,5,15,1,12.1945,7.67394,0
10.5,15,29,3,-85.5952,7,-134.988,4,4,15,1,8.55737,4.03677,0
10.5,18,48,3,-79.1106,1,-100.987,6,6,20,0,-999,-999,0
10.5,18,48,3,-79.1106,5,-103.696,7,7,15,1,13.5229,9.00227,0
10.5,18,48,3,-79.1106,2,-117.057,4,4,20,0,-999,-999,0
10.5,18,48,3,-79.1106,7,-117.422,4,4,15,1,8.55737,4.03677,0
10.5,18,48,3,-79.1106,4,-134.848,5,5,20,0,-999,-999,0
10.5,18,48,3,-79.1106,6,-147.033,5,5,15,1,12.1945,7.67394,0
10.5,21,32,4,-81.855,7,-104.087,4,4,15,1,8.55737,4.03677,0
10.5,21,32,4,-81.855,6,-119.244,5,5,15,1,12.1945,7.67394,0
10.5,21,32,4,-81.855,2,-130.448,4,4,20,0,-999,-999,0
10.5,21,32,4,-81.855,1,-139.229,6,6,20,0,-999,-999,0
10.5,21,32,4,-81.855,3,-143.368,6,6,20,0,-999,-999,0
10.5,21,32,4,-81.855,5,-148.431,7,7,15,1,13.5229,9.00227,0
10.5,22,32,7,-133.288,5,-117.79,7,7,15,1,13.5229,9.00227,0
10.5,22,32,7,-133.288,2,-126.381,4,4,20,0,-999,-999,0
